pecha_id,volume_name,has_base_file,annotation_file_name,is_annotation_file_name_enumed,base_fields,undefined_base_fields,has_annotation_type,annotation_type,is_annotation_type_enumed,has_annotations,has_annotation_id_missing,annotation_fields,has_annotation_field_validation_error,required_annotation_fields,missing_annotation_fields,extra_annotation_fields,has_span_annotation,has_start_end_in_span,start_end_are_integer,start_greater_equal_than_end,start_end_negative_values,start_end_greater_than_base_file_length
O2FCA4A99,6ABB,True,index,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,index,True,True,False,"['span', 'metadata', 'page_info', 'imgnum', 'reference']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Diff,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Diff,False,True,False,"['span', 'metadata', 'src_diff', 'diff_payload']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Pagination,False,"['id', 'annotation_type', 'revision', 'annotations', 'local_ids']",['local_ids'],True,Pagination,True,True,False,"['imgnum', 'reference', 'span']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Diff,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Diff,False,True,False,"['span', 'metadata', 'src_diff', 'diff_payload']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Segment,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Segment,True,True,False,"['span', 'metadata', 'page_info', 'imgnum', 'reference']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Segment,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Segment,True,True,False,"['span', 'metadata', 'page_info', 'imgnum', 'reference']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Diff,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Diff,False,True,False,"['span', 'metadata', 'src_diff', 'diff_payload']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Segment,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Segment,True,True,False,"['span', 'metadata', 'page_info', 'imgnum', 'reference']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Pagination,False,"['id', 'annotation_type', 'revision', 'annotations', 'local_ids']",['local_ids'],True,Pagination,True,True,False,"['imgnum', 'reference', 'span']",False,,,,True,True,{},{},{},{}
O2FCA4A99,6ABB,True,Segment,False,"['id', 'annotation_type', 'revision', 'annotations']",[],True,Segment,True,True,False,"['span', 'metadata']",False,,,,True,True,{},"{'f4fb6a7b5b5b4058b56e005989f98117': {'span': {'start': 9268, 'end': 9268}, 'metadata': {}}, '755babfd7cc44fb1a2f3d1e5007201d3': {'span': {'start': 14371, 'end': 14311}, 'metadata': {}}, 'eae9961d0ace4829b5fadb61b81054ca': {'span': {'start': 28626, 'end': 28626}, 'metadata': {}}, '755e2646382e4469875d2ed8b4dc72fc': {'span': {'start': 28841, 'end': 28740}, 'metadata': {}}, 'c56e1a63ea3649329e7e92bf046a14e2': {'span': {'start': 35849, 'end': 35849}, 'metadata': {}}, '65106d63791d414d911b245e125e8546': {'span': {'start': 50789, 'end': 50789}, 'metadata': {}}, 'eb104df9d3b146be8d01e5b1670d6bae': {'span': {'start': 51025, 'end': 51025}, 'metadata': {}}, '53ec3cb97bc440b1af5ab4574d381a0a': {'span': {'start': 53318, 'end': 53292}, 'metadata': {}}, '0d8e493ac8164407991687c12c18e9aa': {'span': {'start': 54719, 'end': 54654}, 'metadata': {}}, '83755dcd9b58476cb95ec3640c9fa532': {'span': {'start': 55360, 'end': 55255}, 'metadata': {}}, '9224d26309f84b3eac6d3c378255ba5b': {'span': {'start': 55255, 'end': 55145}, 'metadata': {}}, 'd17ef5a4895e4533a2e8928dc3b3951a': {'span': {'start': 55472, 'end': 55333}, 'metadata': {}}, '3db8aef4703f45bc93e6e8e03f666842': {'span': {'start': 55694, 'end': 55578}, 'metadata': {}}, 'd137f7838ab24d36bd8a4680be9ee61e': {'span': {'start': 55917, 'end': 55775}, 'metadata': {}}, 'c007ac39ccdc488a9710c52ae11425e4': {'span': {'start': 56145, 'end': 56111}, 'metadata': {}}, 'd3b2ed5021db4921916c9f403d53e097': {'span': {'start': 57270, 'end': 57100}, 'metadata': {}}, '9ea16253e50f481cbb226fc7c68f9218': {'span': {'start': 57607, 'end': 57360}, 'metadata': {}}, '78b325090550416db4128c99bd0695c8': {'span': {'start': 59122, 'end': 59094}, 'metadata': {}}, 'a417dedfe9a14a1c88e07a98ea3eba72': {'span': {'start': 59947, 'end': 59792}, 'metadata': {}}, 'd3bcbc930fe7466a9bc7e8cd0aa321e3': {'span': {'start': 60059, 'end': 59974}, 'metadata': {}}, 'bfb5d16f4c01464882df0d1c62b752f7': {'span': {'start': 60277, 'end': 60167}, 'metadata': {}}, '078bfc34069b48139aac91600df8ab2e': {'span': {'start': 60585, 'end': 60585}, 'metadata': {}}, '256025437af148d98e42bb2490d27abf': {'span': {'start': 62571, 'end': 62570}, 'metadata': {}}, '4c930bba32d4476cb470006186832695': {'span': {'start': 63030, 'end': 63029}, 'metadata': {}}, '9d983b6183284f0f848fe96ae0a7420c': {'span': {'start': 63371, 'end': 63371}, 'metadata': {}}, '5798f47113f04615a7412508b4b48b43': {'span': {'start': 63948, 'end': 63776}, 'metadata': {}}, 'eaace00d54fb4614bceb2004fe312013': {'span': {'start': 66773, 'end': 66637}, 'metadata': {}}, '1b6428a3f69c4dc9bfce06a9a3f447a9': {'span': {'start': 68110, 'end': 68003}, 'metadata': {}}, '646ed2f2d4f04a18857018a7eef5b026': {'span': {'start': 71093, 'end': 71022}, 'metadata': {}}, '019ebca14edb4a8986bbffa22978f1f8': {'span': {'start': 71446, 'end': 71446}, 'metadata': {}}, '4c8c35e4230e4c0aaa1a3a2304e4a4c1': {'span': {'start': 73604, 'end': 73604}, 'metadata': {}}, 'be8091a8fd5c432d8bae5c2f61b4ec91': {'span': {'start': 73939, 'end': 73939}, 'metadata': {}}, 'fba197486fd6426eaa5ca0469ff0d0ff': {'span': {'start': 82115, 'end': 82115}, 'metadata': {}}, '86da6605aa1140c4b970ed109e344ed2': {'span': {'start': 89809, 'end': 89809}, 'metadata': {}}, '32f66beb78a74a7cb1035d5f957dabc3': {'span': {'start': 89899, 'end': 89899}, 'metadata': {}}, 'f44f16b79b3345f78180b2aff44300fb': {'span': {'start': 90659, 'end': 90659}, 'metadata': {}}, 'f2521c24724b4b04bd63b89b2bd6a860': {'span': {'start': 91366, 'end': 91366}, 'metadata': {}}, 'e595ee34ecf2438ebb51afbb4639eb19': {'span': {'start': 92405, 'end': 92376}, 'metadata': {}}, '8a2b41cb0734498c8b21621833e41af5': {'span': {'start': 93597, 'end': 93597}, 'metadata': {}}, '8d2ac1e368d347cba95f780b59904f28': {'span': {'start': 93933, 'end': 93933}, 'metadata': {}}, '8b99aeb62ed94e90a10e02ca3231a93a': {'span': {'start': 95037, 'end': 95037}, 'metadata': {}}, 'dea4ce2e131b498a9835c680bceb42c5': {'span': {'start': 95617, 'end': 95507}, 'metadata': {}}, '60258780d33c4f7a81831d7780390989': {'span': {'start': 95794, 'end': 95735}, 'metadata': {}}, 'd45c678020194783af12817d3c53a1f5': {'span': {'start': 96191, 'end': 96191}, 'metadata': {}}, 'da1dd7b943ea41958d675c1aef770664': {'span': {'start': 97217, 'end': 97217}, 'metadata': {}}, '02f309320f254acc85ffe14229251d11': {'span': {'start': 98560, 'end': 98529}, 'metadata': {}}, '17ce29a047a945c1b87ac5f22db7ce77': {'span': {'start': 99107, 'end': 99003}, 'metadata': {}}, 'be23c9f301984646a6c2c74cf81b2f2c': {'span': {'start': 100201, 'end': 100142}, 'metadata': {}}, '9903acc793c34f0d8e5a55bdc6ea229b': {'span': {'start': 100662, 'end': 100608}, 'metadata': {}}, 'ffb055495c544e86811a279df43b5b49': {'span': {'start': 100833, 'end': 100833}, 'metadata': {}}, '8c0c5e79ea3c4346acdf79c6e15a0c91': {'span': {'start': 101249, 'end': 101166}, 'metadata': {}}, '5dac32948a644865874a4af9eb7a0a55': {'span': {'start': 104598, 'end': 104457}, 'metadata': {}}, '78217891089840d6bf67a30a8435af9a': {'span': {'start': 105286, 'end': 105143}, 'metadata': {}}, '61397349e52a4487a28d59b2401c18fa': {'span': {'start': 107405, 'end': 107312}, 'metadata': {}}, '6ae7ac8edbe74698ae95fff5d75381b2': {'span': {'start': 107951, 'end': 107951}, 'metadata': {}}, '4ec93c6ea7ab4c6f8f235cfbfa3f02d0': {'span': {'start': 107951, 'end': 107951}, 'metadata': {}}, 'c89e0539fd304d8c8010842bed7e25d4': {'span': {'start': 108189, 'end': 108189}, 'metadata': {}}}",{},"{'8063cba5bd514a2e9bf303cfe417aa4c': {'span': {'start': 109020, 'end': 109899, 'fail_update': 'end'}, 'metadata': {}}}"
