,id,contains index,contains annotations,volume count,volumes,unenumed volumes
24,12d32eb31c1a4cc59741cda99ebc7211,Yes,Yes,120.0,"OrderedDict([('v063', ['peydurma', 'pagination', 'durchen']), ('v112', ['pagination', 'durchen']), ('v103', ['pagination', 'durchen']), ('v068', ['pagination', 'durchen']), ('v059', ['pagination', 'durchen']), ('v102', ['pagination', 'durchen']), ('v106', ['pagination', 'durchen']), ('v025', ['peydurma', 'pagination', 'durchen']), ('v093', ['peydurma', 'pagination', 'durchen']), ('v084', ['pagination', 'durchen']), ('v031', ['pagination', 'durchen']), ('v087', ['pagination', 'durchen']), ('v094', ['pagination', 'durchen']), ('v048', ['pagination', 'durchen']), ('v007', ['pagination', 'durchen']), ('v034', ['peydurma', 'pagination', 'durchen']), ('v040', ['peydurma', 'pagination', 'durchen']), ('v041', ['peydurma', 'pagination', 'durchen']), ('v044', ['pagination']), ('v100', ['pagination', 'durchen']), ('v002', ['pagination', 'durchen']), ('v027', ['peydurma', 'pagination', 'durchen']), ('v108', ['pagination', 'durchen']), ('v095', ['pagination', 'durchen']), ('v060', ['peydurma', 'pagination', 'durchen']), ('v089', ['peydurma', 'pagination', 'durchen']), ('v004', ['peydurma', 'pagination', 'durchen']), ('v079', ['peydurma', 'pagination', 'durchen']), ('v115', ['pagination', 'durchen']), ('v005', ['peydurma', 'pagination', 'durchen']), ('v050', ['pagination', 'durchen']), ('v039', ['pagination', 'durchen']), ('v038', ['peydurma', 'pagination', 'durchen']), ('v028', ['pagination', 'durchen']), ('v045', ['pagination']), ('v032', ['pagination', 'durchen']), ('v091', ['pagination', 'durchen']), ('v006', ['pagination', 'durchen']), ('v013', ['pagination', 'durchen']), ('v001', ['peydurma', 'pagination', 'durchen']), ('v036', ['peydurma', 'pagination', 'durchen']), ('v033', ['pagination', 'durchen']), ('v015', ['peydurma', 'pagination', 'durchen']), ('v119', ['pagination', 'durchen']), ('v076', ['peydurma', 'pagination', 'durchen']), ('v104', ['pagination', 'durchen']), ('v083', ['peydurma', 'pagination', 'durchen']), ('v026', ['peydurma', 'pagination', 'durchen']), ('v073', ['peydurma', 'pagination', 'durchen']), ('v051', ['peydurma', 'pagination', 'durchen']), ('v098', ['peydurma', 'pagination', 'durchen']), ('v080', ['pagination', 'durchen']), ('v043', ['pagination']), ('v018', ['peydurma', 'pagination', 'durchen']), ('v097', ['peydurma', 'pagination', 'durchen']), ('v105', ['pagination', 'durchen']), ('v047', ['pagination', 'durchen']), ('v066', ['peydurma', 'pagination', 'durchen']), ('v107', ['peydurma', 'pagination', 'durchen']), ('v011', ['peydurma', 'pagination', 'durchen']), ('v071', ['peydurma', 'pagination', 'durchen']), ('v012', ['pagination', 'durchen']), ('v021', ['peydurma', 'pagination', 'durchen']), ('v111', ['peydurma', 'pagination', 'durchen']), ('v116', ['peydurma', 'pagination', 'durchen']), ('v054', ['pagination', 'durchen']), ('v118', ['pagination', 'durchen']), ('v114', ['pagination', 'durchen']), ('v090', ['pagination']), ('v008', ['pagination', 'durchen']), ('v037', ['peydurma', 'pagination', 'durchen']), ('v070', ['pagination', 'durchen']), ('v010', ['pagination', 'durchen']), ('v085', ['pagination', 'durchen']), ('v030', ['pagination', 'durchen']), ('v055', ['peydurma', 'pagination', 'durchen']), ('v058', ['peydurma', 'pagination', 'durchen']), ('v082', ['pagination', 'durchen']), ('v065', ['peydurma', 'pagination', 'durchen']), ('v077', ['peydurma', 'pagination', 'durchen']), ('v064', ['peydurma', 'pagination', 'durchen']), ('v109', ['pagination', 'durchen']), ('v052', ['peydurma', 'pagination', 'durchen']), ('v035', ['pagination', 'durchen']), ('v074', ['pagination', 'durchen']), ('v072', ['pagination', 'durchen']), ('v096', ['peydurma', 'pagination', 'durchen']), ('v092', ['peydurma', 'pagination', 'durchen']), ('v046', ['pagination', 'durchen']), ('v022', ['peydurma', 'pagination', 'durchen']), ('v016', ['peydurma', 'pagination', 'durchen']), ('v020', ['pagination', 'durchen']), ('v042', ['pagination']), ('v110', ['pagination', 'durchen']), ('v101', ['pagination', 'durchen']), ('v117', ['pagination', 'durchen']), ('v023', ['pagination', 'durchen']), ('v019', ['peydurma', 'pagination', 'durchen']), ('v086', ['pagination', 'durchen']), ('v088', ['peydurma', 'pagination', 'durchen']), ('v049', ['peydurma', 'pagination', 'durchen']), ('v069', ['pagination', 'durchen']), ('v099', ['pagination', 'durchen']), ('v003', ['pagination', 'durchen']), ('v120', ['pagination', 'durchen']), ('v056', ['peydurma', 'pagination', 'durchen']), ('v024', ['peydurma', 'pagination', 'durchen']), ('v081', ['pagination', 'durchen']), ('v014', ['peydurma', 'pagination', 'durchen']), ('v009', ['pagination', 'durchen']), ('v062', ['peydurma', 'pagination', 'durchen']), ('v067', ['peydurma', 'pagination', 'durchen']), ('v017', ['pagination', 'durchen']), ('v029', ['pagination', 'durchen']), ('v113', ['pagination', 'durchen']), ('v061', ['peydurma', 'pagination', 'durchen']), ('v078', ['peydurma', 'pagination', 'durchen']), ('v075', ['peydurma', 'pagination', 'durchen']), ('v053', ['peydurma', 'pagination', 'durchen']), ('v057', ['peydurma', 'pagination', 'durchen'])])","OrderedDict([('v063', []), ('v112', []), ('v103', []), ('v068', []), ('v059', []), ('v102', []), ('v106', []), ('v025', []), ('v093', []), ('v084', []), ('v031', []), ('v087', []), ('v094', []), ('v048', []), ('v007', []), ('v034', []), ('v040', []), ('v041', []), ('v044', []), ('v100', []), ('v002', []), ('v027', []), ('v108', []), ('v095', []), ('v060', []), ('v089', []), ('v004', []), ('v079', []), ('v115', []), ('v005', []), ('v050', []), ('v039', []), ('v038', []), ('v028', []), ('v045', []), ('v032', []), ('v091', []), ('v006', []), ('v013', []), ('v001', []), ('v036', []), ('v033', []), ('v015', []), ('v119', []), ('v076', []), ('v104', []), ('v083', []), ('v026', []), ('v073', []), ('v051', []), ('v098', []), ('v080', []), ('v043', []), ('v018', []), ('v097', []), ('v105', []), ('v047', []), ('v066', []), ('v107', []), ('v011', []), ('v071', []), ('v012', []), ('v021', []), ('v111', []), ('v116', []), ('v054', []), ('v118', []), ('v114', []), ('v090', []), ('v008', []), ('v037', []), ('v070', []), ('v010', []), ('v085', []), ('v030', []), ('v055', []), ('v058', []), ('v082', []), ('v065', []), ('v077', []), ('v064', []), ('v109', []), ('v052', []), ('v035', []), ('v074', []), ('v072', []), ('v096', []), ('v092', []), ('v046', []), ('v022', []), ('v016', []), ('v020', []), ('v042', []), ('v110', []), ('v101', []), ('v117', []), ('v023', []), ('v019', []), ('v086', []), ('v088', []), ('v049', []), ('v069', []), ('v099', []), ('v003', []), ('v120', []), ('v056', []), ('v024', []), ('v081', []), ('v014', []), ('v009', []), ('v062', []), ('v067', []), ('v017', []), ('v029', []), ('v113', []), ('v061', []), ('v078', []), ('v075', []), ('v053', []), ('v057', [])])"
25,187ed94f85154ea5b1ac374a651e1770,Yes,Yes,120.0,"OrderedDict([('v063', ['peydurma', 'pagination', 'durchen']), ('v112', ['pagination', 'durchen']), ('v103', ['peydurma', 'pagination', 'durchen']), ('v068', ['peydurma', 'pagination', 'durchen']), ('v059', ['peydurma', 'pagination', 'durchen']), ('v102', ['peydurma', 'pagination', 'durchen']), ('v106', ['pagination', 'durchen']), ('v025', ['peydurma', 'pagination', 'durchen']), ('v093', ['peydurma', 'pagination', 'durchen']), ('v084', ['peydurma', 'pagination', 'durchen']), ('v031', ['peydurma', 'pagination', 'durchen']), ('v087', ['peydurma', 'pagination', 'durchen']), ('v094', ['peydurma', 'pagination', 'durchen']), ('v048', ['peydurma', 'pagination', 'durchen']), ('v007', ['peydurma', 'pagination', 'durchen']), ('v034', ['peydurma', 'pagination', 'durchen']), ('v040', ['peydurma', 'pagination', 'durchen']), ('v041', ['peydurma', 'pagination', 'durchen']), ('v044', ['peydurma', 'pagination']), ('v100', ['pagination', 'durchen']), ('v002', ['peydurma', 'pagination', 'durchen']), ('v027', ['peydurma', 'pagination', 'durchen']), ('v108', ['peydurma', 'pagination', 'durchen']), ('v095', ['pagination', 'durchen']), ('v060', ['peydurma', 'pagination', 'durchen']), ('v089', ['peydurma', 'pagination', 'durchen']), ('v004', ['peydurma', 'pagination', 'durchen']), ('v079', ['peydurma', 'pagination', 'durchen']), ('v115', ['peydurma', 'pagination', 'durchen']), ('v005', ['peydurma', 'pagination', 'durchen']), ('v050', ['peydurma', 'pagination', 'durchen']), ('v039', ['peydurma', 'pagination', 'durchen']), ('v038', ['pagination', 'durchen']), ('v028', ['pagination', 'durchen']), ('v045', ['peydurma', 'pagination']), ('v032', ['peydurma', 'pagination', 'durchen']), ('v091', ['pagination', 'durchen']), ('v006', ['pagination', 'durchen']), ('v013', ['peydurma', 'pagination', 'durchen']), ('v001', ['peydurma', 'pagination', 'durchen']), ('v036', ['peydurma', 'pagination', 'durchen']), ('v033', ['peydurma', 'pagination', 'durchen']), ('v015', ['peydurma', 'pagination', 'durchen']), ('v119', ['peydurma', 'pagination', 'durchen']), ('v076', ['peydurma', 'pagination', 'durchen']), ('v104', ['peydurma', 'pagination', 'durchen']), ('v083', ['pagination', 'durchen']), ('v026', ['pagination', 'durchen']), ('v073', ['peydurma', 'pagination', 'durchen']), ('v051', ['peydurma', 'pagination', 'durchen']), ('v098', ['pagination', 'durchen']), ('v080', ['pagination', 'durchen']), ('v043', ['peydurma', 'pagination']), ('v018', ['peydurma', 'pagination', 'durchen']), ('v097', ['pagination', 'durchen']), ('v105', ['pagination', 'durchen']), ('v047', ['pagination', 'durchen']), ('v066', ['peydurma', 'pagination', 'durchen']), ('v107', ['peydurma', 'pagination', 'durchen']), ('v011', ['pagination', 'durchen']), ('v071', ['peydurma', 'pagination', 'durchen']), ('v012', ['peydurma', 'pagination', 'durchen']), ('v021', ['peydurma', 'pagination', 'durchen']), ('v111', ['pagination', 'durchen']), ('v116', ['peydurma', 'pagination', 'durchen']), ('v054', ['peydurma', 'pagination', 'durchen']), ('v118', ['pagination', 'durchen']), ('v114', ['peydurma', 'pagination', 'durchen']), ('v090', ['pagination']), ('v008', ['peydurma', 'pagination', 'durchen']), ('v037', ['peydurma', 'pagination', 'durchen']), ('v070', ['peydurma', 'pagination', 'durchen']), ('v010', ['peydurma', 'pagination', 'durchen']), ('v085', ['peydurma', 'pagination', 'durchen']), ('v030', ['peydurma', 'pagination', 'durchen']), ('v055', ['peydurma', 'pagination', 'durchen']), ('v058', ['peydurma', 'pagination', 'durchen']), ('v082', ['pagination', 'durchen']), ('v065', ['peydurma', 'pagination', 'durchen']), ('v077', ['pagination', 'durchen']), ('v064', ['peydurma', 'pagination', 'durchen']), ('v109', ['peydurma', 'pagination', 'durchen']), ('v052', ['peydurma', 'pagination', 'durchen']), ('v035', ['pagination', 'durchen']), ('v074', ['pagination', 'durchen']), ('v072', ['peydurma', 'pagination', 'durchen']), ('v096', ['pagination', 'durchen']), ('v092', ['peydurma', 'pagination', 'durchen']), ('v046', ['peydurma', 'pagination', 'durchen']), ('v022', ['peydurma', 'pagination', 'durchen']), ('v016', ['peydurma', 'pagination', 'durchen']), ('v020', ['peydurma', 'pagination', 'durchen']), ('v042', ['peydurma', 'pagination']), ('v110', ['peydurma', 'pagination', 'durchen']), ('v101', ['pagination', 'durchen']), ('v117', ['peydurma', 'pagination', 'durchen']), ('v023', ['peydurma', 'pagination', 'durchen']), ('v019', ['peydurma', 'pagination', 'durchen']), ('v086', ['pagination', 'durchen']), ('v088', ['pagination', 'durchen']), ('v049', ['peydurma', 'pagination', 'durchen']), ('v069', ['peydurma', 'pagination', 'durchen']), ('v099', ['peydurma', 'pagination', 'durchen']), ('v003', ['peydurma', 'pagination', 'durchen']), ('v120', ['peydurma', 'pagination', 'durchen']), ('v056', ['peydurma', 'pagination', 'durchen']), ('v024', ['peydurma', 'pagination', 'durchen']), ('v081', ['pagination', 'durchen']), ('v014', ['peydurma', 'pagination', 'durchen']), ('v009', ['peydurma', 'pagination', 'durchen']), ('v062', ['peydurma', 'pagination', 'durchen']), ('v067', ['peydurma', 'pagination', 'durchen']), ('v017', ['peydurma', 'pagination', 'durchen']), ('v029', ['peydurma', 'pagination', 'durchen']), ('v113', ['peydurma', 'pagination', 'durchen']), ('v061', ['peydurma', 'pagination', 'durchen']), ('v078', ['pagination', 'durchen']), ('v075', ['peydurma', 'pagination', 'durchen']), ('v053', ['peydurma', 'pagination', 'durchen']), ('v057', ['peydurma', 'pagination', 'durchen'])])","OrderedDict([('v063', []), ('v112', []), ('v103', []), ('v068', []), ('v059', []), ('v102', []), ('v106', []), ('v025', []), ('v093', []), ('v084', []), ('v031', []), ('v087', []), ('v094', []), ('v048', []), ('v007', []), ('v034', []), ('v040', []), ('v041', []), ('v044', []), ('v100', []), ('v002', []), ('v027', []), ('v108', []), ('v095', []), ('v060', []), ('v089', []), ('v004', []), ('v079', []), ('v115', []), ('v005', []), ('v050', []), ('v039', []), ('v038', []), ('v028', []), ('v045', []), ('v032', []), ('v091', []), ('v006', []), ('v013', []), ('v001', []), ('v036', []), ('v033', []), ('v015', []), ('v119', []), ('v076', []), ('v104', []), ('v083', []), ('v026', []), ('v073', []), ('v051', []), ('v098', []), ('v080', []), ('v043', []), ('v018', []), ('v097', []), ('v105', []), ('v047', []), ('v066', []), ('v107', []), ('v011', []), ('v071', []), ('v012', []), ('v021', []), ('v111', []), ('v116', []), ('v054', []), ('v118', []), ('v114', []), ('v090', []), ('v008', []), ('v037', []), ('v070', []), ('v010', []), ('v085', []), ('v030', []), ('v055', []), ('v058', []), ('v082', []), ('v065', []), ('v077', []), ('v064', []), ('v109', []), ('v052', []), ('v035', []), ('v074', []), ('v072', []), ('v096', []), ('v092', []), ('v046', []), ('v022', []), ('v016', []), ('v020', []), ('v042', []), ('v110', []), ('v101', []), ('v117', []), ('v023', []), ('v019', []), ('v086', []), ('v088', []), ('v049', []), ('v069', []), ('v099', []), ('v003', []), ('v120', []), ('v056', []), ('v024', []), ('v081', []), ('v014', []), ('v009', []), ('v062', []), ('v067', []), ('v017', []), ('v029', []), ('v113', []), ('v061', []), ('v078', []), ('v075', []), ('v053', []), ('v057', [])])"
26,1d88aaf778164d5da36eb7dc41d29f2e,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
27,a7fbe4ba649b421184ae7690c0df8c12,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
28,c1f25688a5da47c1be49a5c0eb0326a5,Yes,Yes,1.0,"OrderedDict([('v001', ['peydurma', 'pagination', 'durchen'])])","OrderedDict([('v001', [])])"
29,e5248654f5e44f8e9216f3f38ed75ee8,Yes,Yes,1.0,"OrderedDict([('v001', ['pagination', 'durchen'])])","OrderedDict([('v001', [])])"
30,4e3c12ff85b6429dbd0d3e05949d4165,Yes,Yes,1.0,"OrderedDict([('v107', ['pagination', 'durchen'])])","OrderedDict([('v107', [])])"
31,caaa3990fb69457e96bbe50c933a401c,Yes,Yes,1.0,"OrderedDict([('v005', ['pagination'])])","OrderedDict([('v005', [])])"
32,65137b7e11bc4dec98ae6ab001b87a12,Yes,Yes,1.0,"OrderedDict([('v098', ['peydurma', 'pagination'])])","OrderedDict([('v098', [])])"
33,9848d64a7ddb42228012d2fb3a0542d1,Yes,Yes,1.0,"OrderedDict([('v105', ['pagination', 'durchen'])])","OrderedDict([('v105', [])])"
